sensor,time,pm_1,pm_25,pm_10,location
9,138266,0,0,0,in
9,139174,0,0,0,in
9,140012,0,0,0,in
9,140850,0,0,0,in
9,141758,0,0,0,in
9,142596,0,0,0,in
9,143434,0,0,0,in
9,144342,0,0,0,in
9,145179,0,0,0,in
9,146018,0,0,0,in
9,146925,0,0,0,in
9,147763,0,0,0,in
9,148601,0,0,0,in
9,149509,0,0,0,in
9,150346,0,0,0,in
9,151185,0,0,0,in
9,152092,0,1,1,in
9,152931,0,1,1,in
9,153768,0,1,1,in
9,154677,0,0,0,in
9,155514,0,0,0,in
9,156352,0,0,0,in
9,157260,0,1,1,in
9,158098,0,1,1,in
9,158936,0,1,1,in
9,159844,0,2,2,in
9,160681,0,2,2,in
9,161520,0,2,2,in
9,162427,0,2,2,in
9,163265,0,2,2,in
9,164104,0,2,2,in
9,165011,0,2,2,in
9,165849,0,2,2,in
9,166687,0,2,2,in
9,167595,0,1,1,in
9,168433,0,1,1,in
9,169271,0,1,1,in
9,170178,0,1,1,in
9,171016,0,1,1,in
9,171853,0,1,1,in
9,172762,0,2,2,in
9,173600,0,2,2,in
9,174438,0,2,2,in
9,175346,0,2,2,in
9,176184,0,2,2,in
9,177021,0,2,2,in
9,177929,0,2,2,in
9,178766,0,2,2,in
9,179604,0,2,2,in
9,180512,0,2,2,in
9,181350,0,2,2,in
9,182188,0,2,2,in
9,183096,0,1,1,in
9,183933,0,1,1,in
9,184771,0,1,1,in
9,185679,0,0,0,in
9,186517,0,0,0,in
9,187355,0,0,0,in
9,188263,0,0,0,in
9,189101,0,0,0,in
9,189938,0,0,0,in
9,190846,0,0,0,in
9,191684,0,0,0,in
9,192523,0,0,0,in
9,193430,0,0,0,in
9,194268,0,0,0,in
9,195105,0,0,0,in
9,196014,0,0,0,in
9,196851,0,0,0,in
9,197690,0,0,0,in
9,198597,0,0,0,in
9,199435,0,0,0,in
9,200274,0,0,0,in
9,201182,0,0,0,in
9,202019,0,0,0,in
9,202857,0,0,0,in
9,203765,0,0,0,in
9,204603,0,0,0,in
9,205441,0,0,0,in
9,206349,0,0,0,in
9,207186,0,0,0,in
9,208025,0,0,0,in
9,208932,0,0,0,in
9,209770,0,0,0,in
9,210609,0,0,0,in
